id,birthdate,deathdate,ssn,drivers,passport,prefix,first,last,suffix,maiden,marital,race,ethnicity,gender,birthplace,address,city,state,county,zip,lat,lon,healthcare_expenses,healthcare_coverage,_ingest_time_utc,_source_file,_raw_row_id,id_is_null
579dc752-5705-6967-db68-1e20800a1661,2016-05-07,None,999-23-3974,None,None,None,Chanell45,Skiles927,None,None,None,white,nonhispanic,F,Arlington  Massachusetts  US,729 Weber Ramp Unit 63,Adams,Massachusetts,Berkshire County,1220,42.640746830058589,-73.124466221703415,18663.719,11280.660999999998,2025-11-07T12:24:53.157036,patients.csv,621,false
436a7fef-6640-96ab-2557-77e40e947bc9,2005-04-27,None,999-46-1194,S99940037,None,None,Arline53,Rohan584,None,None,None,white,nonhispanic,F,Millis-Clicquot  Massachusetts  US,584 Dare Station,Agawam,Massachusetts,Hampden County,1001,42.113554439002677,-72.672307349885884,593825.64,6160.56,2025-11-07T12:24:53.157036,patients.csv,540,false
32203cdc-00ea-b95b-15b3-a3eb870db382,1986-04-06,1998-03-26,999-25-5642,None,None,None,Mario764,Towne435,None,None,None,white,nonhispanic,M,Avon  Massachusetts  US,683 Pagac Rest Unit 56,Agawam,Massachusetts,Hampden County,,42.022144524616607,-72.619057876571944,291813.87999999995,11297.88,2025-11-07T12:24:53.157036,patients.csv,641,false
863d30c0-d34e-be6c-6a5b-1c7aa0333ee7,2017-06-19,None,999-81-1752,None,None,None,Ricardo560,Stracke611,None,None,None,white,nonhispanic,M,Sandwich  Massachusetts  US,814 Stehr Tunnel,Agawam,Massachusetts,Hampden County,1030,42.121359752498833,-72.697815233279556,110848.02000000002,183.08999999999995,2025-11-07T12:24:53.157036,patients.csv,735,false
68444584-c6e0-8d53-923e-ce79ba7c1911,2011-09-03,None,999-21-5083,None,None,None,Timmy68,Pfannerstill264,None,None,None,white,nonhispanic,M,Amherst  Massachusetts  US,426 Kuvalis Ville Apt 24,Amherst,Massachusetts,Hampshire County,,42.318033781151868,-72.548718358237622,253391.99,206.22,2025-11-07T12:24:53.157036,patients.csv,137,false
97a30f0c-5ece-06e1-f7c1-1f8d46057ea7,2012-11-26,None,999-36-8814,None,None,None,Lucretia377,Mann644,None,None,None,white,nonhispanic,F,Blandford  Massachusetts  US,642 Rosenbaum Avenue Suite 89,Andover,Massachusetts,Essex County,,42.694941913326367,-71.1182535852012,224223.3375,761.1225,2025-11-07T12:24:53.157036,patients.csv,134,false
3f9712f8-51e2-02e9-3ebc-0a72b0f9cac0,2014-01-19,None,999-24-3216,None,None,None,Waldo53,Nienow652,None,None,None,white,nonhispanic,M,Weymouth  Massachusetts  US,560 Bednar Mill Unit 33,Andover,Massachusetts,Essex County,,42.631105832839232,-71.1736296122515,196477.0925,523.89749999999992,2025-11-07T12:24:53.157036,patients.csv,809,false
1a3c4dbc-9cf9-3967-ac48-389057e4f2aa,2014-11-23,None,999-69-7819,None,None,None,Billie243,Grady603,None,None,None,white,nonhispanic,M,Newton  Massachusetts  US,433 DuBuque Promenade Unit 71,Andover,Massachusetts,Essex County,,42.678712893304358,-71.19186871631382,171579.6,353.34,2025-11-07T12:24:53.157036,patients.csv,992,false
284ef746-0103-40df-9c1b-28870ec27d62,2006-10-17,None,999-99-3677,None,None,None,Pablo44,Rojo930,None,None,None,white,hispanic,M,Juarez  Chihuahua  MX,304 Moen Trace Apt 76,Andover,Massachusetts,Essex County,,42.6055205549272,-71.168632871417529,595777.77750000008,179.57249999999996,2025-11-07T12:24:53.157036,patients.csv,1069,false
a8eed586-7fc7-e064-78ee-c6d227039940,2015-12-12,None,999-87-2722,None,None,None,Augustine565,Dickinson688,None,None,None,white,nonhispanic,M,Boston  Massachusetts  US,936 Mohr Rapid Suite 31,Arlington,Massachusetts,Middlesex County,,42.410283502538434,-71.180388260787041,136673.3875,3770.7825,2025-11-07T12:24:53.157036,patients.csv,251,false
7603d7e2-7e39-24cc-4068-dca4098f29f1,2010-04-11,None,999-17-3722,None,None,None,Nery414,Zemlak964,None,None,None,white,nonhispanic,F,Framingham  Massachusetts  US,100 Hahn Viaduct Apt 2,Arlington,Massachusetts,Middlesex County,,42.404190849786509,-71.115913166556112,376975.6075,95530.1325,2025-11-07T12:24:53.157036,patients.csv,707,false
27050e3a-dba0-61b9-3041-373c323e16a4,2004-02-20,None,999-55-3329,S99966055,None,None,Jenifer459,Abshire638,None,None,None,white,nonhispanic,F,Norwood  Massachusetts  US,783 Yundt Burg,Attleboro,Massachusetts,Bristol County,2703,41.928588256933288,-71.368662628708577,448059.63,487.05,2025-11-07T12:24:53.157036,patients.csv,153,false
bde529cd-a87e-f646-6b7d-d0370a097d70,2012-04-30,None,999-68-8044,None,None,None,Lance203,Daugherty69,None,None,None,white,nonhispanic,M,Taunton  Massachusetts  US,716 McDermott Meadow Unit 55,Attleboro,Massachusetts,Bristol County,2861,41.840189996442419,-71.31465911861082,241722.295,904.815,2025-11-07T12:24:53.157036,patients.csv,440,false
86e983ea-29df-a34a-c0b4-9a171859195f,2010-03-23,None,999-67-3570,None,None,None,Raul814,D'Amore443,None,None,None,white,nonhispanic,M,Falmouth  Massachusetts  US,493 Koelpin Vista Apt 26,Attleboro,Massachusetts,Bristol County,2703,41.890369387315332,-71.320107010757,381272.36500000011,123.07499999999992,2025-11-07T12:24:53.157036,patients.csv,670,false
bfc8a71f-2f61-d8fc-e2aa-615b1d4598d3,2014-07-11,None,999-58-5482,None,None,None,Deangelo7,Romaguera67,None,None,None,white,nonhispanic,M,Lowell  Massachusetts  US,1049 Reynolds Walk,Attleboro,Massachusetts,Bristol County,,41.94005869075071,-71.250679638417552,175749.685,60.10499999999999,2025-11-07T12:24:53.157036,patients.csv,1138,false
ff0e4d0e-6181-e36e-d817-64dbcaecb5d0,1994-08-12,2008-04-04,999-12-9188,None,None,None,Domingo513,Bashirian201,None,None,None,white,nonhispanic,M,Ware  Massachusetts  US,799 Labadie Orchard Apt 88,Barnstable,Massachusetts,Barnstable County,2655,41.650010487514614,-70.307155015056651,420643.4825,215.85749999999987,2025-11-07T12:24:53.157036,patients.csv,155,false
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,2005-07-04,None,999-49-3323,S99941126,None,None,Thi53,Wunsch504,None,None,None,white,nonhispanic,F,Danvers  Massachusetts  US,972 Tillman Branch Suite 48,Bellingham,Massachusetts,Norfolk County,,42.035213357528178,-71.48251904737748,402723.415,14064.135000000002,2025-11-07T12:24:53.157036,patients.csv,2,false
19162199-ffeb-d890-6d5e-ed7afe08f1c0,2011-03-12,None,999-74-5964,None,None,None,Mateo562,Cardenas331,None,None,None,white,hispanic,M,Marigot  Saint Andrew Parish  DM,952 Carroll Parade,Bellingham,Massachusetts,Norfolk County,,42.1063102503786,-71.484294234199623,121580.27999999998,0,2025-11-07T12:24:53.157036,patients.csv,275,false
d4be4998-9b0d-8304-1413-14c68377d114,2008-05-27,None,999-22-9566,None,None,None,Leo278,Thiel172,None,None,None,white,nonhispanic,M,Dartmouth  Massachusetts  US,238 Pfeffer Promenade Suite 54,Billerica,Massachusetts,Middlesex County,,42.539124772299623,-71.266600919559252,336527.05999999994,0,2025-11-07T12:24:53.157036,patients.csv,1071,false
a47eed09-9942-9cbf-9220-2843ded300e9,2007-01-26,None,999-84-2012,None,None,None,Elvin140,Senger904,None,None,None,white,nonhispanic,M,Medford  Massachusetts  US,526 Kub Flat Apt 73,Blackstone,Massachusetts,Worcester County,,42.081408445204808,-71.5122933994795,368003.96,56.219999999999921,2025-11-07T12:24:53.157036,patients.csv,869,false
122b4063-18dc-f20f-204c-6f2da758717b,2018-09-16,None,999-63-4674,None,None,None,Carlota980,Morales679,None,None,None,white,hispanic,F,Santiago de los Caballeros  Santiago  DO,990 Morissette Parade,Boston,Massachusetts,Suffolk County,,42.290594379019225,-71.092167209270357,10334.434,7684.2459999999992,2025-11-07T12:24:53.157036,patients.csv,23,false
